Noise,Beta1,Window1,T1,Beta2,Window2,T2,PSNR
1,0.6666,7,0.3333,0.3333,7,0.3333,99.1288834167
1,0.6666,7,0.3333,0.3333,7,0.3333,96.8624004767
1,0.6666,7,0.3333,0.3333,7,0.3333,99.1255883155
1,0.6666,7,0.3333,0.3333,7,0.3333,99.7383746674
1,0.6666,7,0.3333,0.3333,7,0.6666,99.604813481
1,0.6666,7,0.3333,0.3333,7,0.6666,99.7869163316
1,0.6666,7,0.3333,0.3333,7,0.6666,98.9026955115
1,0.6666,7,0.3333,0.3333,7,0.6666,99.9531673242
1,0.6666,7,0.3333,0.3333,7,0.6666,101.541293462
1,0.6666,7,0.3333,0.6666,7,0.3333,96.758189397
1,0.6666,7,0.3333,0.6666,7,0.3333,96.1789614904
1,0.6666,7,0.3333,0.6666,7,0.3333,97.9123472607
1,0.6666,7,0.3333,0.6666,7,0.3333,97.407207611
1,0.6666,7,0.3333,0.6666,7,0.3333,96.1735644342
1,0.6666,7,0.3333,0.6666,7,0.6666,95.6173828721
1,0.6666,7,0.3333,0.6666,7,0.6666,96.9228609612
1,0.6666,7,0.3333,0.6666,7,0.6666,95.7730296638
1,0.6666,7,0.3333,0.6666,7,0.6666,97.1015519818
1,0.6666,7,0.3333,0.6666,7,0.6666,95.5752035864
1,0.6666,7,0.6666,0.3333,7,0.3333,99.3219937163
1,0.6666,7,0.6666,0.3333,7,0.3333,97.7351575343
1,0.6666,7,0.6666,0.3333,7,0.3333,98.6726062719
1,0.6666,7,0.6666,0.3333,7,0.3333,96.5383869717
1,0.6666,7,0.6666,0.3333,7,0.3333,99.5885018136
1,0.6666,7,0.6666,0.3333,7,0.6666,98.7326222336
1,0.6666,7,0.6666,0.3333,7,0.6666,97.9204583288
1,0.6666,7,0.6666,0.3333,7,0.6666,98.505720768
1,0.6666,7,0.6666,0.3333,7,0.6666,99.281910861
