Noise,Beta,Window,T,PSNR
30,1.0,7,0.975,52.6859007302
30,1.0,9,0.9,49.7723247625
30,1.0,9,0.9,51.0328122598
30,1.0,9,0.9,52.6271338492
30,1.0,9,0.9,52.3335252514
30,1.0,9,0.9,50.1436767586
30,1.0,9,0.925,49.6278275382
30,1.0,9,0.925,50.8480611093
30,1.0,9,0.925,52.0629616506
30,1.0,9,0.925,49.3710151757
30,1.0,9,0.925,52.0941749582
30,1.0,9,0.95,53.5572412259
30,1.0,9,0.95,50.9300061873
30,1.0,9,0.95,52.7951454324
30,1.0,9,0.95,50.4598278094
30,1.0,9,0.95,51.0661508968
30,1.0,9,0.975,49.2759182281
30,1.0,9,0.975,50.8860427323
30,1.0,9,0.975,51.738683334
30,1.0,9,0.975,49.5524801034
30,1.0,9,0.975,50.1507884427
10,0.5,3,0.25,70.5248482785
10,0.5,3,0.25,68.4819498581
10,0.5,3,0.25,69.4822480239
10,0.5,3,0.25,68.6932950981
10,0.5,3,0.25,70.8140331967
10,0.5,3,0.5,71.22074993
10,0.5,3,0.5,67.87073864
10,0.5,3,0.5,70.4355222439
10,0.5,3,0.5,69.3924384931
10,0.5,3,0.5,69.7251118532
10,0.5,3,0.75,68.7800744621
10,0.5,3,0.75,66.7508836537
10,0.5,3,0.75,67.4111003837
10,0.5,3,0.75,68.7655342771
